trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",30,0,-160.7513698404517,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",35,0,-152.5102406826043,"{0: 22, 1: 3, 2: 6, 3: 3, 4: 1}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,16,-40.00502743879258,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",25,0,-118.29577227248463,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",25,10,-75.6113894155069,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",20,0,-95.47806140406225,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,0,-70.43252764376201,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",30,9,-116.77412985086421,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 2}",1
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-67.10465208587361,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
71,False,"{'a': 0.001, 'e': 0.9323938199059483}",25,0,-116.11299659309515,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
72,False,"{'a': 0.001, 'e': 0.9314618921275921}",25,0,-106.91345190138263,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
73,False,"{'a': 0.001, 'e': 0.9305308958112057}",25,5,-167.4905173839796,"{0: 8, 1: 0, 2: 10, 3: 0, 4: 2}",1
74,False,"{'a': 0.001, 'e': 0.9296008300257927}",25,1,-58.742255913215104,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 1}",1
75,False,"{'a': 0.001, 'e': 0.9286716938412872}",20,0,-109.38094467584295,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",1
76,False,"{'a': 0.001, 'e': 0.9277434863285529}",25,0,-200.45034794989814,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
77,False,"{'a': 0.001, 'e': 0.9268162065593822}",20,6,-22.530054631558432,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 0}",1
78,False,"{'a': 0.001, 'e': 0.9258898536064953}",30,0,-106.92767213791417,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.001, 'e': 0.9249644265435393}",25,0,-134.397954623401,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.001, 'e': 0.9240399244450868}",35,0,-188.80115980762653,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
81,False,"{'a': 0.001, 'e': 0.9231163463866358}",25,18,-13.36252067979829,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.001, 'e': 0.922193691444608}",20,0,-140.70282826426524,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
83,False,"{'a': 0.001, 'e': 0.9212719586963487}",25,0,-249.84900232378453,"{0: 12, 1: 1, 2: 6, 3: 2, 4: 4}",0
84,False,"{'a': 0.001, 'e': 0.9203511472201247}",20,0,-85.54320875102067,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
85,False,"{'a': 0.001, 'e': 0.9194312560951247}",30,0,-183.25863235431768,"{0: 19, 1: 5, 2: 2, 3: 0, 4: 4}",0
